source	file	name	exec	categories
user	chrome-eoficlgicibekocmfdomjbfnjmehnhcd-Default.desktop	Outlook (PWA)	/opt/google/chrome/google-chrome --profile-directory=Default --app-id=eoficlgicibekocmfdomjbfnjmehnhcd %U	-
user	chrome-hnpfjngllnobngcgfapefoaidbinmjnm-Default.desktop	WhatsApp Web	/opt/google/chrome/google-chrome --profile-directory=Default --app-id=hnpfjngllnobngcgfapefoaidbinmjnm	-
user	chrome-mpnpojknpmmopombnjdcgaaiekajbnjb-Default.desktop	Docs	/opt/google/chrome/google-chrome --profile-directory=Default --app-id=mpnpojknpmmopombnjdcgaaiekajbnjb	-
user	claude-code-url-handler.desktop	Claude Code URL Handler	"/usr/local/lib/node_modules/@anthropic-ai/claude-code/bin/claude.exe" --handle-uri %u	-
user	telegram-desktop_telegram-desktop.desktop	Telegram	env QT_SCALE_FACTOR=1.3 QT_IM_MODULE=fcitx GTK_IM_MODULE=fcitx XMODIFIERS=@im=fcitx /snap/bin/telegram-desktop -- %U	Chat;Network;InstantMessaging;Qt;
system	apport-gtk.desktop	Report a problem...	/usr/share/apport/apport-gtk -c %f	GNOME;GTK;Utility;
system	bluetooth-sendto.desktop	Bluetooth Transfer	bluetooth-sendto	GTK;GNOME;Utility;FileTools;
system	code-url-handler.desktop	Visual Studio Code - URL Handler	/usr/share/code/code --open-url %U	Utility;TextEditor;Development;IDE;
system	code.desktop	Visual Studio Code	/usr/share/code/code %F	TextEditor;Development;IDE;
system	com.github.hluk.copyq.desktop	CopyQ	copyq --start-server show	Qt;KDE;Utility;
system	com.google.Chrome.desktop	Google Chrome	/usr/bin/google-chrome-stable %U	Network;WebBrowser;
system	com.obsproject.Studio.desktop	OBS Studio	obs	AudioVideo;Recorder;
system	fcitx5-configtool.desktop	Fcitx 5 Configuration	/usr/bin/fcitx5-configtool	Settings;
system	fcitx5-wayland-launcher.desktop	Fcitx 5 Wayland Launcher (Experimental)	/usr/libexec/fcitx5-wayland-launcher --reopen	System;Utility;
system	gammastep-indicator.desktop	Gammastep Indicator	gammastep-indicator	Utility;
system	gammastep.desktop	gammastep	gammastep	Utility;
system	gcr-prompter.desktop	Access Prompt	/usr/libexec/gcr-prompter	-
system	gcr-viewer.desktop	View file	/usr/bin/gcr-viewer	-
system	geoclue-demo-agent.desktop	Geoclue Demo agent	/usr/libexec/geoclue-2.0/demos/agent	-
system	gkbd-keyboard-display.desktop	Keyboard Layout	gkbd-keyboard-display	GNOME;GTK;Core;System;
system	gnome-about-panel.desktop	About	gnome-control-center system about	GNOME;GTK;Settings;X-GNOME-Settings-Panel;X-GNOME-SystemSettings;
system	gnome-applications-panel.desktop	Apps	gnome-control-center applications	GNOME;GTK;Settings;DesktopSettings;X-GNOME-Settings-Panel;X-GNOME-AccountSettings;
system	gnome-background-panel.desktop	Appearance	gnome-control-center background	GNOME;GTK;Settings;DesktopSettings;X-GNOME-Settings-Panel;X-GNOME-PersonalizationSettings;
system	gnome-bluetooth-panel.desktop	Bluetooth	gnome-control-center bluetooth	GTK;GNOME;Settings;X-GNOME-NetworkSettings;HardwareSettings;X-GNOME-Settings-Panel;X-GNOME-ConnectivitySettings;
system	gnome-color-panel.desktop	Color	gnome-control-center color	GNOME;GTK;Settings;X-GNOME-Settings-Panel;HardwareSettings;X-GNOME-DevicesSettings;
system	gnome-datetime-panel.desktop	Date & Time	gnome-control-center system datetime	GNOME;GTK;Settings;X-GNOME-Settings-Panel;X-GNOME-SystemSettings;
system	gnome-disk-image-mounter.desktop	Disk Image Mounter	gnome-disk-image-mounter %U	-
system	gnome-disk-image-writer.desktop	Disk Image Writer	gnome-disks --restore-disk-image %U	-
system	gnome-display-panel.desktop	Displays	gnome-control-center display	GNOME;GTK;Settings;HardwareSettings;X-GNOME-Settings-Panel;X-GNOME-DevicesSettings;
system	gnome-initial-setup.desktop	Initial Setup	/usr/libexec/gnome-initial-setup-wrapper /usr/libexec/gnome-initial-setup	GNOME;GTK;System;
system	gnome-keyboard-panel.desktop	Keyboard	gnome-control-center keyboard	GNOME;GTK;Settings;HardwareSettings;X-GNOME-Settings-Panel;X-GNOME-DevicesSettings;
system	gnome-language-selector.desktop	Language Support	/usr/bin/gnome-language-selector	GNOME;GTK;Settings;DesktopSettings;X-GNOME-Settings-Panel;X-Unity-Settings-Panel;X-GNOME-PersonalSettings
system	gnome-mouse-panel.desktop	Mouse & Touchpad	gnome-control-center mouse	GNOME;GTK;Settings;HardwareSettings;X-GNOME-Settings-Panel;X-GNOME-DevicesSettings;
system	gnome-multitasking-panel.desktop	Multitasking	gnome-control-center multitasking	GNOME;GTK;Settings;DesktopSettings;X-GNOME-Settings-Panel;X-GNOME-PersonalizationSettings;
system	gnome-network-panel.desktop	Network	gnome-control-center network	GNOME;GTK;Settings;HardwareSettings;X-GNOME-Settings-Panel;X-GNOME-ConnectivitySettings;
system	gnome-notifications-panel.desktop	Notifications	gnome-control-center notifications	GNOME;GTK;Settings;DesktopSettings;X-GNOME-Settings-Panel;X-GNOME-PersonalizationSettings;
system	gnome-online-accounts-panel.desktop	Online Accounts	gnome-control-center online-accounts	GNOME;GTK;Settings;DesktopSettings;X-GNOME-Settings-Panel;X-GNOME-AccountSettings;
system	gnome-power-panel.desktop	Power	gnome-control-center power	GNOME;GTK;Settings;DesktopSettings;X-GNOME-Settings-Panel;X-GNOME-DevicesSettings;
system	gnome-printers-panel.desktop	Printers	gnome-control-center printers	GNOME;GTK;Settings;HardwareSettings;X-GNOME-Settings-Panel;X-GNOME-DevicesSettings;
system	gnome-privacy-panel.desktop	Privacy & Security	gnome-control-center privacy	GNOME;GTK;Settings;DesktopSettings;X-GNOME-Settings-Panel;X-GNOME-AccountSettings;
system	gnome-region-panel.desktop	Region & Language	gnome-control-center system region	GNOME;GTK;Settings;DesktopSettings;X-GNOME-Settings-Panel;X-GNOME-SystemSettings;
system	gnome-search-panel.desktop	Search	gnome-control-center search	GNOME;GTK;Settings;DesktopSettings;X-GNOME-Settings-Panel;X-GNOME-PersonalizationSettings;
system	gnome-session-properties.desktop	Startup Applications	gnome-session-properties	GTK;GNOME;Settings;X-GNOME-PersonalSettings;
system	gnome-sharing-panel.desktop	Sharing	gnome-control-center sharing	GNOME;GTK;Settings;DesktopSettings;X-GNOME-Settings-Panel;X-GNOME-AccountSettings;
system	gnome-sound-panel.desktop	Sound	gnome-control-center sound	GNOME;GTK;Settings;X-GNOME-Settings-Panel;X-GNOME-DevicesSettings;
system	gnome-system-monitor-kde.desktop	GNOME System Monitor	gnome-system-monitor	GNOME;GTK;System;Monitor;
system	gnome-system-panel.desktop	System	gnome-control-center system	GNOME;GTK;Settings;X-GNOME-Settings-Panel;X-GNOME-DetailsSettings;
system	gnome-ubuntu-panel.desktop	Ubuntu Desktop	gnome-control-center ubuntu	GNOME;GTK;Settings;DesktopSettings;X-GNOME-Settings-Panel;X-GNOME-PersonalSettings;X-GNOME-PersonalizationSettings;
system	gnome-universal-access-panel.desktop	Accessibility	gnome-control-center universal-access	GNOME;GTK;Settings;X-GNOME-Settings-Panel;X-GNOME-DetailsSettings;
system	gnome-users-panel.desktop	Users	gnome-control-center system users	GNOME;GTK;Settings;X-GNOME-Settings-Panel;X-GNOME-SystemSettings;
system	gnome-wacom-panel.desktop	Wacom Tablet	gnome-control-center wacom	GNOME;GTK;Settings;HardwareSettings;X-GNOME-Settings-Panel;X-GNOME-DevicesSettings;
system	gnome-wifi-panel.desktop	Wi-Fi	gnome-control-center wifi	GNOME;GTK;Settings;HardwareSettings;X-GNOME-Settings-Panel;X-GNOME-ConnectivitySettings;
system	gnome-wwan-panel.desktop	Mobile Network	gnome-control-center wwan	GNOME;GTK;Settings;X-GNOME-NetworkSettings;HardwareSettings;X-GNOME-Settings-Panel;X-GNOME-ConnectivitySettings;
system	google-chrome.desktop	Google Chrome	/usr/bin/google-chrome-stable %U	Network;WebBrowser;
system	hplj1020.desktop	Reactivate HP LaserJet 1018/1020 after reloading paper	/usr/share/foo2zjs/hplj10xx_gui.tcl	System;
system	htop.desktop	Htop	htop	System;Monitor;ConsoleOnly;
system	ibus-setup-table.desktop	IBus Table Setup	/usr/libexec/ibus-setup-table	-
system	im-config.desktop	Input Method	im-config	Settings
system	info.desktop	TeXInfo	info	Utility;Documentation;ConsoleOnly;
system	io.snapcraft.SessionAgent.desktop	Snapd User Session Agent	/bin/false	-
system	kbd-layout-viewer5.desktop	Keyboard layout viewer	kbd-layout-viewer5	Qt;KDE;Utility;
system	nautilus-autorun-software.desktop	Run Software	nautilus-autorun-software %u	-
system	nm-applet.desktop	NetworkManager Applet	nm-applet	-
system	nm-connection-editor.desktop	Advanced Network Configuration	nm-connection-editor	GNOME;GTK;Settings;X-GNOME-NetworkSettings;X-GNOME-Utilities;
